artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,streams_per_month,artist_dominance,title_word_count
2,2023,7,14,553,147,141381703.0,125,80,89,83,31,0,8,4,141381703.0,1,5
1,2023,3,23,1474,48,133716286.0,92,71,61,74,7,0,10,4,36020564.12247788,1,1
1,2023,6,30,1397,113,140003974.0,138,51,32,53,17,0,31,6,140003974.0,7,1
1,2019,8,23,7858,100,800840817.0,170,55,58,72,11,0,11,15,17155238.894778326,34,2
1,2023,5,18,3133,50,303236322.0,144,65,23,80,14,63,11,6,161938835.81894737,19,3
2,2023,6,1,2186,91,183706234.0,141,92,66,58,19,0,8,24,130046924.72,1,1
2,2023,3,16,3090,50,725980112.0,148,67,83,76,48,0,8,3,184156955.07733333,1,3
1,2023,7,7,714,43,58149378.0,100,67,26,71,37,0,11,4,58149378.0,4,1
1,2023,5,15,1096,83,95217315.0,130,85,22,62,12,0,28,9,48306917.81,1,1
2,2023,3,17,2953,44,553634067.0,170,81,56,48,21,0,8,33,141618663.8611765,1,4
2,2023,4,17,2876,40,505671438.0,83,57,56,72,23,0,27,5,174916347.41727272,1,2
1,2023,7,7,422,55,58255150.0,150,78,52,82,18,0,15,7,58255150.0,6,2
1,2023,1,12,12211,115,1316855716.0,118,71,65,68,6,0,3,7,219044196.69420767,2,1
1,2023,4,14,3528,98,387570742.0,130,51,32,43,83,0,9,3,129644542.70857143,2,1
1,2022,3,31,23575,130,2513188493.0,174,52,66,73,34,0,31,6,162769058.99344683,17,3
1,2022,12,8,8109,77,1163093654.0,89,64,43,73,5,17,16,4,162406288.20073396,19,2
1,2023,2,24,2942,77,496795686.0,120,78,76,59,43,0,34,3,108017576.29885714,2,4
1,2023,7,13,873,104,30546883.0,78,44,14,9,96,0,10,3,30546883.0,5,10
2,2023,3,31,2610,40,335222234.0,100,86,67,66,14,0,12,16,97182521.93295239,1,2
1,2023,3,24,596,68,363369738.0,120,63,36,73,0,0,36,4,98758703.79214287,3,2
3,2023,6,22,332,26,86444842.0,140,65,87,74,22,0,42,4,86444842.0,1,2
1,2023,7,7,516,38,52135248.0,123,69,82,76,6,0,6,3,52135248.0,34,8
1,2013,1,1,12859,110,1297026226.0,135,48,44,42,12,2,11,3,10265594.986853875,4,4
2,2023,5,31,1313,40,200647221.0,133,85,81,67,26,0,12,5,138811395.6190909,1,7
3,2023,6,2,1945,87,115364561.0,99,85,83,68,7,0,36,20,83611838.97238095,1,17
1,2023,6,22,250,26,78300654.0,130,79,96,86,9,0,9,9,78300654.0,2,2
2,2022,3,25,7112,77,899183384.0,107,80,82,80,43,0,14,4,57502399.59865546,1,5
2,2023,6,29,859,40,61245289.0,122,81,74,71,14,0,56,4,61245289.0,1,2
1,2023,1,31,2420,19,429829812.0,204,52,52,68,46,0,15,4,79780606.56878048,11,2
1,2023,5,25,2988,101,127408954.0,110,67,78,85,2,0,33,5,77566571.1952,3,7
1,2023,7,13,864,78,22581161.0,126,74,35,84,0,0,11,6,22581161.0,2,1
2,2023,6,28,266,34,52294266.0,168,56,63,87,39,0,11,5,52294266.0,1,1
3,2022,12,2,6036,88,843957510.0,98,71,17,61,36,0,8,5,114687797.34107144,1,1
1,2022,10,21,9082,56,999748277.0,97,64,51,63,12,0,19,5,114407284.02962406,34,1
2,2023,2,23,4284,49,618990393.0,180,72,61,63,67,0,9,28,133631684.84340425,1,1
8,2023,6,1,1150,31,123122413.0,120,81,63,68,11,0,11,4,87159215.15627907,1,3
2,2023,4,7,672,34,188933502.0,150,61,39,73,37,0,11,3,58685059.19265306,1,4
1,2014,1,1,11434,53,1355959075.0,96,75,57,68,9,0,13,6,11857338.191037059,34,2
1,2014,1,1,7830,42,786181836.0,95,60,48,79,0,0,12,4,6874856.388348176,34,1
1,2023,5,19,584,28,176553476.0,125,79,96,85,27,0,11,6,95969425.16857143,2,1
2,2023,2,10,692,25,354495408.0,144,56,84,65,23,0,10,6,70070391.03584416,2,2
2,2018,10,9,24094,78,2808096550.0,90,76,91,50,54,0,7,5,49153800.44968373,1,6
2,2022,8,26,12482,80,1109433169.0,128,56,38,97,4,0,35,4,104879334.36136647,1,3
3,2017,7,21,13387,64,1047101291.0,79,56,58,56,37,0,11,10,14594213.96430403,1,3
3,2023,6,23,1117,80,65156199.0,144,77,75,58,52,0,23,25,65156199.0,1,8
1,2020,11,27,3372,19,570515054.0,122,67,49,64,10,0,10,3,18108944.988279458,2,3
1,2022,5,13,8431,76,1085685420.0,140,71,82,81,11,0,6,5,77396403.24309133,2,3
1,2016,11,24,2483,59,1647990401.0,134,59,51,52,9,0,15,7,20703602.066215437,22,3
2,2016,9,21,29536,79,2565529693.0,186,68,49,59,16,0,13,28,31401175.655375957,1,1
2,2023,2,24,3408,47,518745108.0,67,53,50,53,23,0,44,7,112790007.76799999,2,5
3,2023,6,2,1298,38,107753850.0,106,72,17,64,7,0,10,5,78095885.57142857,1,2
3,2023,4,6,4277,66,177740666.0,128,60,23,91,0,0,12,3,54650766.394343436,1,4
1,2023,2,24,1133,39,153372011.0,107,92,55,70,18,0,15,7,33347457.24885714,4,1
1,2023,6,15,2259,59,57876440.0,130,67,96,88,12,19,8,4,57876440.0,1,6
1,2012,10,15,18371,83,1813673666.0,123,45,13,54,70,0,9,4,14069374.717900105,1,2
1,2019,11,29,43899,69,3703895074.0,171,50,38,80,0,0,9,7,85220382.50382465,22,2
1,2023,2,24,2649,42,256483385.0,137,64,88,72,51,0,17,5,55766815.995714284,1,1
1,2022,5,26,6804,45,1214083358.0,125,84,85,68,58,0,22,4,89267385.06647344,1,2
1,2023,7,14,525,41,16011326.0,128,86,42,72,59,0,9,19,16011326.0,4,1
1,2020,7,24,7923,29,812019557.0,130,61,53,58,55,0,27,4,22781451.903299537,34,1
2,2023,5,4,731,15,111947664.0,130,86,59,96,50,1,9,5,47995590.03042253,1,1
2,2023,2,3,5184,41,156338624.0,133,70,86,81,25,0,25,5,29558681.45689441,1,5
