,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,Major,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,A,A#,B,C#,D,D#,E,F,F#,G,G#
0,2,2023,7,14,553,147,141381703.0,43,263,45,10,826,125,1,80,89,83,31,0,8,4,0,0,1,0,0,0,0,0,0,0,0
1,1,2023,3,23,1474,48,133716286.0,48,126,58,14,382,92,1,71,61,74,7,0,10,4,0,0,0,1,0,0,0,0,0,0,0
2,1,2023,6,30,1397,113,140003974.0,94,207,91,14,949,138,1,51,32,53,17,0,31,6,0,0,0,0,0,0,0,1,0,0,0
3,1,2019,8,23,7858,100,800840817.0,116,207,125,12,548,170,1,55,58,72,11,0,11,15,1,0,0,0,0,0,0,0,0,0,0
4,1,2023,5,18,3133,50,303236322.0,84,133,87,15,425,144,0,65,23,80,14,63,11,6,1,0,0,0,0,0,0,0,0,0,0
5,2,2023,6,1,2186,91,183706234.0,67,213,88,17,946,141,1,92,66,58,19,0,8,24,0,0,0,1,0,0,0,0,0,0,0
6,2,2023,3,16,3090,50,725980112.0,34,222,43,13,418,148,0,67,83,76,48,0,8,3,0,0,0,0,0,0,0,1,0,0,0
7,1,2023,7,7,714,43,58149378.0,25,89,30,13,194,100,1,67,26,71,37,0,11,4,0,0,0,0,0,0,0,1,0,0,0
8,1,2023,5,15,1096,83,95217315.0,60,210,48,11,953,130,0,85,22,62,12,0,28,9,0,0,0,1,0,0,0,0,0,0,0
9,2,2023,3,17,2953,44,553634067.0,49,110,66,13,339,170,0,81,56,48,21,0,8,33,0,0,0,0,1,0,0,0,0,0,0
10,2,2023,4,17,2876,40,505671438.0,41,205,54,12,251,83,0,57,56,72,23,0,27,5,0,0,0,0,0,0,0,0,1,0,0
11,1,2023,7,7,422,55,58255150.0,37,202,21,5,168,150,0,78,52,82,18,0,15,7,0,0,0,0,0,0,0,1,0,0,0
12,1,2023,4,14,3528,98,387570742.0,80,156,182,24,1281,130,0,51,32,43,83,0,9,3,0,0,0,0,1,0,0,0,0,0,0
13,1,2022,12,8,8109,77,1163093654.0,183,162,161,12,187,89,1,64,43,73,5,17,16,4,0,0,0,0,0,0,0,0,0,0,1
14,1,2023,2,24,2942,77,496795686.0,91,212,78,6,0,120,0,78,76,59,43,0,34,3,0,0,1,0,0,0,0,0,0,0,0
15,2,2023,3,31,2610,40,335222234.0,43,100,54,14,187,100,1,86,67,66,14,0,12,16,0,0,1,0,0,0,0,0,0,0,0
16,1,2023,3,24,596,68,363369738.0,8,104,23,2,29,120,1,63,36,73,0,0,36,4,0,0,0,0,0,0,0,0,0,1,0
17,3,2023,6,22,332,26,86444842.0,11,163,10,4,0,140,0,65,87,74,22,0,42,4,0,0,0,0,0,0,0,1,0,0,0
18,1,2023,7,7,516,38,52135248.0,73,119,42,1,150,123,1,69,82,76,6,0,6,3,0,0,0,0,0,0,0,0,1,0,0
19,2,2023,5,31,1313,40,200647221.0,17,152,32,11,139,133,0,85,81,67,26,0,12,5,0,0,0,0,0,0,0,1,0,0,0
20,3,2023,6,2,1945,87,115364561.0,74,182,87,14,1093,99,1,85,83,68,7,0,36,20,0,0,0,1,0,0,0,0,0,0,0
21,1,2023,6,22,250,26,78300654.0,16,149,10,5,168,130,0,79,96,86,9,0,9,9,0,0,0,0,0,0,0,0,0,1,0
22,2,2022,3,25,7112,77,899183384.0,202,119,318,38,96,107,1,80,82,80,43,0,14,4,0,0,1,0,0,0,0,0,0,0,0
23,2,2023,6,29,859,40,61245289.0,35,109,41,14,211,122,0,81,74,71,14,0,56,4,0,0,0,0,0,0,0,0,1,0,0
24,1,2023,1,31,2420,19,429829812.0,52,107,15,1,325,204,1,52,52,68,46,0,15,4,0,0,0,0,0,0,0,0,1,0,0
25,1,2023,5,25,2988,101,127408954.0,0,0,143,38,0,110,0,67,78,85,2,0,33,5,0,0,1,0,0,0,0,0,0,0,0
26,1,2023,7,13,864,78,22581161.0,71,135,50,1,294,126,0,74,35,84,0,0,11,6,0,0,0,0,0,0,0,1,0,0,0
27,2,2023,6,28,266,34,52294266.0,20,185,13,8,197,168,1,56,63,87,39,0,11,5,0,0,0,0,0,0,0,0,1,0,0
28,3,2022,12,2,6036,88,843957510.0,113,149,245,23,27,98,0,71,17,61,36,0,8,5,0,0,0,1,0,0,0,0,0,0,0
29,1,2022,10,21,9082,56,999748277.0,242,142,165,9,310,97,1,64,51,63,12,0,19,5,0,0,0,0,0,0,1,0,0,0,0
30,2,2023,2,23,4284,49,618990393.0,115,123,184,18,354,180,0,72,61,63,67,0,9,28,0,0,0,0,0,0,1,0,0,0,0
31,2,2023,4,7,672,34,188933502.0,19,108,24,9,212,150,1,61,39,73,37,0,11,3,0,0,0,0,0,0,0,0,1,0,0
32,1,2014,1,1,11434,53,1355959075.0,154,123,410,2,81,96,1,75,57,68,9,0,13,6,0,0,0,0,0,0,0,1,0,0,0
33,1,2014,1,1,7830,42,786181836.0,94,111,151,4,82,95,1,60,48,79,0,0,12,4,0,0,0,0,1,0,0,0,0,0,0
34,1,2023,5,19,584,28,176553476.0,16,159,15,6,100,125,0,79,96,85,27,0,11,6,0,0,0,0,0,0,0,1,0,0,0
35,2,2023,2,10,692,25,354495408.0,10,107,6,3,62,144,0,56,84,65,23,0,10,6,1,0,0,0,0,0,0,0,0,0,0
36,2,2018,10,9,24094,78,2808096550.0,372,117,843,4,69,90,1,76,91,50,54,0,7,5,0,0,0,0,1,0,0,0,0,0,0
37,2,2022,8,26,12482,80,1109433169.0,291,184,537,45,727,128,0,56,38,97,4,0,35,4,0,0,0,0,0,0,0,0,0,1,0
38,3,2017,7,21,13387,64,1047101291.0,77,58,247,1,311,79,1,56,58,56,37,0,11,10,0,0,0,0,0,0,0,0,1,0,0
39,1,2020,11,27,3372,19,570515054.0,65,48,138,1,102,122,1,67,49,64,10,0,10,3,0,0,0,0,0,0,0,1,0,0,0
40,1,2016,11,24,2483,59,1647990401.0,68,21,24,0,259,134,0,59,51,52,9,0,15,7,0,0,0,1,0,0,0,0,0,0,0
41,2,2016,9,21,29536,79,2565529693.0,281,137,2445,1,140,186,1,68,49,59,16,0,13,28,0,0,0,0,0,0,0,0,0,1,0
42,2,2023,2,24,3408,47,518745108.0,87,86,74,1,16,67,0,53,50,53,23,0,44,7,0,0,0,1,0,0,0,0,0,0,0
