,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,bpm,Major,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,days_since_release,artist_dominance,months_since_release,streams_per_month
0,2,2023,7,14,553,147,141381703.0,125,1,80,89,83,31,0,8,4,0,1,1.0,141381703.0
1,1,2023,3,23,1474,48,133716286.0,92,1,71,61,74,7,0,10,4,113,1,3.712220762155059,36020564.12247788
2,1,2023,6,30,1397,113,140003974.0,138,1,51,32,53,17,0,31,6,14,7,1.0,140003974.0
3,1,2019,8,23,7858,100,800840817.0,170,1,55,58,72,11,0,11,15,1421,34,46.681997371879106,17155238.894778326
4,1,2023,5,18,3133,50,303236322.0,144,0,65,23,80,14,63,11,6,57,19,1.8725361366622864,161938835.81894737
5,2,2023,6,1,2186,91,183706234.0,141,1,92,66,58,19,0,8,24,43,1,1.4126149802890933,130046924.72
6,2,2023,3,16,3090,50,725980112.0,148,0,67,83,76,48,0,8,3,120,1,3.942181340341655,184156955.07733333
7,1,2023,7,7,714,43,58149378.0,100,1,67,26,71,37,0,11,4,7,4,1.0,58149378.0
8,1,2023,5,15,1096,83,95217315.0,130,0,85,22,62,12,0,28,9,60,1,1.9710906701708275,48306917.81
9,2,2023,3,17,2953,44,553634067.0,170,0,81,56,48,21,0,8,33,119,1,3.9093298291721417,141618663.8611765
10,2,2023,4,17,2876,40,505671438.0,83,0,57,56,72,23,0,27,5,88,1,2.890932982917214,174916347.41727272
11,1,2023,7,7,422,55,58255150.0,150,0,78,52,82,18,0,15,7,7,6,1.0,58255150.0
12,1,2023,1,12,12211,115,1316855716.0,118,1,71,65,68,6,0,3,7,183,2,6.011826544021025,219044196.69420767
13,1,2023,1,12,12211,115,1316855716.0,118,1,71,65,68,6,0,3,7,183,2,6.011826544021025,219044196.69420767
14,1,2023,4,14,3528,98,387570742.0,130,0,51,32,43,83,0,9,3,91,2,2.9894875164257555,129644542.70857143
15,1,2022,3,31,23575,130,2513188493.0,174,0,52,66,73,34,0,31,6,470,17,15.440210249671484,162769058.99344683
16,1,2022,12,8,8109,77,1163093654.0,89,1,64,43,73,5,17,16,4,218,19,7.1616294349540075,162406288.20073396
17,1,2023,2,24,2942,77,496795686.0,120,0,78,76,59,43,0,34,3,140,2,4.599211563731932,108017576.29885714
18,1,2023,2,24,2942,77,496795686.0,120,0,78,76,59,43,0,34,3,140,2,4.599211563731932,108017576.29885714
19,1,2023,2,24,2942,77,496795686.0,120,0,78,76,59,43,0,34,3,140,2,4.599211563731932,108017576.29885714
20,1,2023,2,24,2942,77,496795686.0,120,0,78,76,59,43,0,34,3,140,2,4.599211563731932,108017576.29885714
21,1,2023,7,13,873,104,30546883.0,78,1,44,14,9,96,0,10,3,1,5,1.0,30546883.0
22,2,2023,3,31,2610,40,335222234.0,100,1,86,67,66,14,0,12,16,105,1,3.4494086727989486,97182521.9329524
23,1,2023,3,24,596,68,363369738.0,120,1,63,36,73,0,0,36,4,112,3,3.679369250985545,98758703.79214288
24,3,2023,6,22,332,26,86444842.0,140,0,65,87,74,22,0,42,4,22,1,1.0,86444842.0
25,1,2023,7,7,516,38,52135248.0,123,1,69,82,76,6,0,6,3,7,34,1.0,52135248.0
