,artist_count,bpm,Major,danceability_%,valence_%,energy_%,acousticness_%,days_since_release,artist_dominance,streams_per_month
0,2,125,1,80,89,83,31,0,1,141381703.0
1,1,92,1,71,61,74,7,113,1,36020564.12247788
2,1,138,1,51,32,53,17,14,7,140003974.0
3,1,170,1,55,58,72,11,1421,34,17155238.894778326
4,1,144,0,65,23,80,14,57,19,161938835.81894737
5,2,141,1,92,66,58,19,43,1,130046924.72
6,2,148,0,67,83,76,48,120,1,184156955.07733333
7,1,100,1,67,26,71,37,7,4,58149378.0
8,1,130,0,85,22,62,12,60,1,48306917.81
9,2,170,0,81,56,48,21,119,1,141618663.8611765
10,2,83,0,57,56,72,23,88,1,174916347.41727272
11,1,150,0,78,52,82,18,7,6,58255150.0
12,1,118,1,71,65,68,6,183,2,219044196.69420767
13,1,118,1,71,65,68,6,183,2,219044196.69420767
14,1,130,0,51,32,43,83,91,2,129644542.70857143
15,1,174,0,52,66,73,34,470,17,162769058.99344683
16,1,89,1,64,43,73,5,218,19,162406288.20073396
17,1,120,0,78,76,59,43,140,2,108017576.29885714
18,1,120,0,78,76,59,43,140,2,108017576.29885714
19,1,120,0,78,76,59,43,140,2,108017576.29885714
20,1,120,0,78,76,59,43,140,2,108017576.29885714
21,1,78,1,44,14,9,96,1,5,30546883.0
22,2,100,1,86,67,66,14,105,1,97182521.9329524
23,1,120,1,63,36,73,0,112,3,98758703.79214288
24,3,140,0,65,87,74,22,22,1,86444842.0
25,1,123,1,69,82,76,6,7,34,52135248.0
26,1,135,0,48,44,42,12,3846,4,10265594.986853875
27,2,133,0,85,81,67,26,44,1,138811395.6190909
28,3,99,1,85,83,68,7,42,1,83611838.97238095
29,1,130,0,79,96,86,9,22,2,78300654.0
30,2,107,1,80,82,80,43,476,1,57502399.59865546
31,2,122,0,81,74,71,14,15,1,61245289.0
32,1,204,1,52,52,68,46,164,11,79780606.56878048
33,1,110,0,67,78,85,2,50,3,77566571.1952
34,1,126,0,74,35,84,0,1,2,22581161.0
35,2,168,1,56,63,87,39,16,1,52294266.0
36,3,98,0,71,17,61,36,224,1,114687797.34107144
37,1,97,1,64,51,63,12,266,34,114407284.02962406
38,2,180,0,72,61,63,67,141,1,133631684.84340423
39,8,120,1,81,63,68,11,43,1,87159215.15627907
40,2,150,1,61,39,73,37,98,1,58685059.19265306
41,1,96,1,75,57,68,9,3481,34,11857338.19103706
42,1,95,1,60,48,79,0,3481,34,6874856.388348176
43,1,125,0,79,96,85,27,56,2,95969425.16857144
