track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key_x,mode_x,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,days_since_release,streams_per_day,artist_dominance,mbid,artist_mb,artist_lastfm,country_mb,country_lastfm,tags_mb,tags_lastfm,listeners_lastfm,scrobbles_lastfm,ambiguous_artist,instance_id,artist_name,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key_y,liveness,loudness,mode_y,speechiness,tempo,obtained_date,valence,music_genre
Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",2,2023,7,14,553,147,141381703.0,43,263,45,10,826,125,B,Major,80,89,83,31,0,8,4,1,141381703.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
LALA,Myke Towers,1,2023,3,23,1474,48,133716286.0,48,126,58,14,382,92,C#,Major,71,61,74,7,0,10,4,114,1172949.8771929825,1,d2945137-b01d-4195-9f82-64d20f8ba657,Myke Towers,Myke Towers,United States,,latin urban,,3075.0,11416.0,False,,,,,,,,,,,,,,,,,
vampire,Olivia Rodrigo,1,2023,6,30,1397,113,140003974.0,94,207,91,14,949,138,F,Major,51,32,53,17,0,31,6,15,9333598.266666668,7,6925db17-f35e-42f3-a4eb-84ee6bf5d4b0,Olivia Rodrigo,Olivia Rodrigo,United States,,,,158.0,643.0,False,,,,,,,,,,,,,,,,,
Cruel Summer,Taylor Swift,1,2019,8,23,7858,100,800840817.0,116,207,125,12,548,170,A,Major,55,58,72,11,0,11,15,1422,563179.1962025317,34,20244d07-534f-4eff-b4d4-930878889970,Taylor Swift,Taylor Swift,United States,United States,pop; country; electropop; female vocals; dance-pop; pop rock; country pop; contemporary country; teen pop; top 40; country-pop; taylor-swift; singer/songwriter; fixme label mess; hp,country; pop; female vocalists; singer-songwriter; acoustic; taylor swift; country pop; american; seen live; female; pop rock; female vocalist; Love; 00s; contemporary country; USA; beautiful; folk; pop country; modern country; guilty pleasure; rock; amazing; taylor; world; chill; chillout; 3; World Music; sunflower; Skitz0rz; uitluisteren artist; holloween skitz0rz; fav888; my dance room; teen pop; <3; cute; Awesome; sweet; synthpop; Favorite; Female country; legend; talented; love story; 2000s; lovely,2203262.0,171760219.0,False,,,,,,,,,,,,,,,,,
WHERE SHE GOES,Bad Bunny,1,2023,5,18,3133,50,303236322.0,84,133,87,15,425,144,A,Minor,65,23,80,14,63,11,6,58,5228212.448275862,19,89aa5ecb-59ad-46f5-b3eb-2d424e941f19,Bad Bunny,Bad Bunny,United States,,hip hop; latin urban; latin trap,,136813.0,2292156.0,False,,,,,,,,,,,,,,,,,
Sprinter,"Dave, Central Cee",2,2023,6,1,2186,91,183706234.0,67,213,88,17,946,141,C#,Major,92,66,58,19,0,8,24,44,4175141.6818181816,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ella Baila Sola,"Eslabon Armado, Peso Pluma",2,2023,3,16,3090,50,725980112.0,34,222,43,13,418,148,F,Minor,67,83,76,48,0,8,3,121,5999835.636363637,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbia,Quevedo,1,2023,7,7,714,43,58149378.0,25,89,30,13,194,100,F,Major,67,26,71,37,0,11,4,8,7268672.25,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
fukumean,Gunna,1,2023,5,15,1096,83,95217315.0,60,210,48,11,953,130,C#,Minor,85,22,62,12,0,28,9,61,1560939.5901639345,1,100b8734-f4f0-4536-9960-47f7c59d1b4c,Gunna,Gunna,,,,,56722.0,1837866.0,False,,,,,,,,,,,,,,,,,
La Bebe - Remix,"Peso Pluma, Yng Lvcas",2,2023,3,17,2953,44,553634067.0,49,110,66,13,339,170,D,Minor,81,56,48,21,0,8,33,120,4613617.225,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
